taskId	retainerJob	retainerLevel	itemId	qty
72	MIN	1	4	60
73	MIN	1	5	60
74	MIN	1	6	60
75	MIN	1	7	60
76	MIN	3	5488	30
77	MIN	5	5432	30
78	MIN	6	5107	30
79	MIN	7	5128	30
80	MIN	7	5133	30
81	MIN	8	5433	30
82	MIN	9	5110	30
83	MIN	10	5124	30
84	MIN	10	5513	30
85	MIN	11	5267	30
86	MIN	11	5268	30
87	MIN	12	5518	30
88	MIN	13	5228	30
89	MIN	14	5111	30
90	MIN	14	5269	30
91	MIN	15	5519	30
92	MIN	16	5130	30
93	MIN	17	5131	30
94	MIN	17	5132	30
95	MIN	17	5230	30
96	MIN	18	5129	30
97	MIN	19	5465	30
98	MIN	19	5524	30
100	MIN	20	5229	30
101	MIN	21	5155	30
102	MIN	22	5270	30
103	MIN	23	5152	30
104	MIN	23	5153	30
105	MIN	24	5491	30
106	MIN	24	5154	30
107	MIN	24	5156	30
108	MIN	25	5113	30
109	MIN	25	5157	30
110	MIN	26	5528	30
111	MIN	26	8	30
112	MIN	26	9	30
113	MIN	26	10	30
114	MIN	26	11	30
115	MIN	26	12	30
116	MIN	26	13	30
117	MIN	27	5523	30
118	MIN	28	5125	30
119	MIN	28	5814	30
120	MIN	28	5815	30
121	MIN	28	5816	30
122	MIN	28	5817	30
123	MIN	28	5818	30
124	MIN	28	5819	30
125	MIN	28	5820	30
126	MIN	29	5527	30
128	MIN	30	5231	30
129	MIN	30	7758	10
130	MIN	30	7761	10
131	MIN	30	7764	10
132	MIN	31	5134	30
133	MIN	31	7008	30
134	MIN	32	5137	30
135	MIN	33	5135	30
136	MIN	33	5136	30
137	MIN	33	5271	30
138	MIN	34	5114	30
139	MIN	34	5138	30
140	MIN	35	5139	30
141	MIN	36	5142	30
142	MIN	37	5144	30
143	MIN	38	5141	30
144	MIN	39	5168	30
145	MIN	40	5525	30
146	MIN	40	5526	30
147	MIN	40	7759	3
148	MIN	40	7762	3
149	MIN	40	7765	3
150	MIN	41	5145	30
151	MIN	42	5272	30
152	MIN	43	5115	30
153	MIN	44	5143	30
154	MIN	45	5140	30
155	MIN	45	7010	30
156	MIN	46	5263	30
157	MIN	47	5116	30
158	MIN	48	5458	30
159	MIN	49	5439	30
161	BTN	1	5509	30
162	BTN	1	2	60
163	BTN	1	3	60
164	BTN	1	4	60
165	BTN	1	5	60
166	BTN	1	6	60
167	BTN	1	7	60
168	BTN	2	5050	30
169	BTN	2	5498	30
170	BTN	3	5380	30
171	BTN	4	4828	30
172	BTN	5	5516	30
173	BTN	5	5396	30
174	BTN	6	5534	30
175	BTN	6	5351	30
176	BTN	7	4809	30
177	BTN	7	7725	1
178	BTN	8	5383	30
179	BTN	9	5402	30
180	BTN	9	4803	30
181	BTN	10	5352	30
182	BTN	10	4831	30
183	BTN	11	5341	30
184	BTN	11	5538	30
185	BTN	11	4795	30
186	BTN	11	4808	30
187	BTN	11	4823	30
188	BTN	11	4824	30
189	BTN	11	4829	30
190	BTN	12	5385	30
191	BTN	12	4777	30
192	BTN	12	5539	30
193	BTN	12	5342	30
194	BTN	12	5560	30
195	BTN	13	5514	30
196	BTN	13	4778	30
197	BTN	13	4779	30
198	BTN	13	5540	30
199	BTN	13	4782	30
200	BTN	13	4804	30
201	BTN	14	5343	30
202	BTN	14	4783	30
203	BTN	14	4830	30
204	BTN	15	4780	30
205	BTN	15	4781	30
206	BTN	15	4784	30
207	BTN	15	4832	30
208	BTN	16	4785	30
209	BTN	16	4810	30
210	BTN	16	4834	30
211	BTN	16	7715	1
212	BTN	16	7727	1
213	BTN	17	4811	30
214	BTN	17	4820	30
215	BTN	17	7728	1
216	BTN	18	5541	30
217	BTN	18	4786	30
218	BTN	18	4787	30
219	BTN	18	7720	1
220	BTN	19	5386	30
221	BTN	19	4796	30
222	BTN	20	5405	30
223	BTN	20	7029	30
224	BTN	20	7030	30
225	BTN	20	7031	30
226	BTN	20	5563	30
228	BTN	21	4812	30
229	BTN	21	4806	30
230	BTN	21	7729	1
231	BTN	22	4797	30
232	BTN	22	6145	30
233	BTN	23	5535	30
234	BTN	23	4835	30
235	BTN	23	7738	1
236	BTN	24	5388	30
237	BTN	24	5542	30
238	BTN	24	4836	30
239	BTN	24	7739	1
240	BTN	24	7740	1
241	BTN	25	4819	30
242	BTN	25	4821	30
243	BTN	25	7721	1
244	BTN	26	4822	30
245	BTN	26	8	30
246	BTN	26	9	30
247	BTN	26	10	30
248	BTN	26	11	30
249	BTN	26	12	30
250	BTN	26	13	30
251	BTN	27	4788	30
252	BTN	27	7722	1
253	BTN	28	4789	30
254	BTN	28	7723	1
255	BTN	28	5814	30
256	BTN	28	5815	30
257	BTN	28	5816	30
258	BTN	28	5817	30
259	BTN	28	5818	30
260	BTN	28	5819	30
261	BTN	28	5820	30
262	BTN	29	5359	30
263	BTN	30	4813	30
264	BTN	30	5559	30
266	BTN	31	5346	30
267	BTN	31	5409	30
268	BTN	31	7741	1
269	BTN	32	5390	30
270	BTN	32	4790	30
271	BTN	32	4837	30
272	BTN	32	7742	1
273	BTN	33	5543	30
274	BTN	33	7011	30
275	BTN	33	4798	30
276	BTN	33	7743	1
277	BTN	34	4791	30
278	BTN	34	5360	30
279	BTN	34	4839	30
280	BTN	35	5562	30
281	BTN	35	4838	30
282	BTN	35	4843	30
283	BTN	36	4814	30
284	BTN	36	4807	30
285	BTN	36	7730	1
286	BTN	37	5391	30
287	BTN	37	4840	30
288	BTN	38	4793	30
289	BTN	39	4792	30
290	BTN	39	4841	30
291	BTN	39	4844	30
292	BTN	40	4842	30
293	BTN	40	7744	1
294	BTN	41	4845	30
295	BTN	42	6146	30
296	BTN	42	5564	30
297	BTN	42	7731	1
298	BTN	43	4815	30
299	BTN	43	7732	1
300	BTN	44	5536	30
301	BTN	45	5054	30
302	BTN	46	5393	30
303	BTN	47	5414	30
304	BTN	48	4846	30
305	BTN	49	5055	30
306	BTN	49	7012	30
308	FSH	1	4925	10
309	FSH	4	4871	7
310	FSH	5	5460	7
311	FSH	5	4930	7
312	FSH	6	4931	10
313	FSH	7	4932	10
314	FSH	8	4933	10
315	FSH	9	4876	10
316	FSH	10	4935	10
317	FSH	11	4936	7
318	FSH	14	4879	10
319	FSH	16	4880	7
320	FSH	17	4881	7
321	FSH	18	4882	7
322	FSH	19	4949	10
323	FSH	20	4884	7
324	FSH	21	4886	10
325	FSH	23	4955	10
326	FSH	24	4958	7
327	FSH	25	4959	10
328	FSH	26	5461	7
329	FSH	27	4891	7
330	FSH	28	4892	7
331	FSH	29	4893	3
332	FSH	31	4895	7
333	FSH	32	4896	10
334	FSH	34	4898	7
335	FSH	36	4900	7
336	FSH	38	4982	10
337	FSH	40	5462	7
338	FSH	41	4903	3
339	FSH	43	4905	3
340	FSH	44	5466	7
341	FSH	46	4997	10
342	FSH	48	5040	7
343	HUNT	51	12871	10
344	HUNT	51	12888	10
345	HUNT	51	12568	10
346	HUNT	51	12635	10
347	HUNT	51	12637	10
348	HUNT	52	12873	10
349	HUNT	52	12575	10
350	HUNT	52	12609	10
351	HUNT	52	12628	10
352	HUNT	53	12569	10
353	HUNT	53	12636	10
354	HUNT	55	12874	10
355	HUNT	55	12570	10
356	HUNT	56	5449	10
357	HUNT	54	5448	10
358	HUNT	56	12629	10
359	HUNT	57	12872	10
360	HUNT	57	12571	10
361	HUNT	57	12576	10
362	HUNT	58	12875	10
363	HUNT	58	12876	10
364	HUNT	58	12600	10
365	HUNT	58	12627	10
366	HUNT	58	12630	10
367	HUNT	59	12572	10
368	HUNT	59	12573	10
369	HUNT	59	12577	10
370	HUNT	60	12599	10
371	MIN	51	5126	30
372	MIN	51	12531	30
373	MIN	51	12553	30
374	MIN	52	12552	30
375	MIN	53	12551	30
376	MIN	54	12631	30
377	MIN	54	12559	30
378	MIN	55	12555	30
379	MIN	55	12554	30
380	MIN	56	12532	30
381	MIN	57	12556	30
382	MIN	57	12632	30
383	MIN	58	12539	30
384	MIN	58	12560	30
385	MIN	59	12557	30
386	MIN	59	12533	30
387	MIN	60	12558	30
388	MIN	60	5127	30
389	BTN	51	5403	30
390	BTN	51	5384	30
391	BTN	51	12597	30
392	BTN	52	12883	30
393	BTN	53	12880	30
394	BTN	54	12598	30
395	BTN	54	12578	30
396	BTN	55	12585	30
397	BTN	55	12885	30
398	BTN	56	12638	30
399	BTN	57	12887	30
400	BTN	57	12639	30
401	BTN	58	12586	30
402	BTN	58	12642	30
403	BTN	59	12643	30
404	BTN	59	12640	30
405	BTN	59	12891	30
406	BTN	60	12641	30
407	FSH	51	12715	10
408	FSH	52	12719	10
409	FSH	52	12725	10
410	FSH	52	12721	10
411	FSH	53	12728	10
412	FSH	53	12737	10
413	FSH	54	12739	10
414	FSH	54	12747	10
415	FSH	55	12750	10
416	FSH	55	12749	10
417	FSH	55	12765	10
418	FSH	56	12767	10
419	FSH	57	12781	10
420	FSH	57	12790	10
421	FSH	58	12811	10
422	FSH	58	12809	10
423	FSH	59	12817	10
424	FSH	59	12824	10
425	FSH	60	12828	10
426	FSH	60	12819	10
427	MIN	30	5521	30
428	FSH	52	12722	10
429	FSH	55	12733	10
430	FSH	55	12758	10
431	FSH	55	12780	10
432	FSH	54	12736	10
433	MIN	50	7760	1
434	MIN	50	7763	1
435	MIN	50	7766	1
436	MIN	50	5118	9
437	MIN	50	5121	9
438	MIN	50	6152	9
439	MIN	50	5158	9
440	MIN	50	5146	5
441	MIN	50	7588	5
442	MIN	50	7589	5
443	BTN	50	5395	9
444	BTN	50	5537	9
445	BTN	50	5350	9
446	BTN	50	5545	9
447	BTN	50	5546	9
448	BTN	50	4800	9
449	BTN	50	7724	1
450	BTN	50	7733	1
451	BTN	50	7734	1
452	BTN	50	7590	5
453	BTN	50	7591	5
454	BTN	50	7594	5
455	BTN	50	7595	5
456	MIN	50	5147	5
457	MIN	50	5148	5
458	MIN	50	5149	5
459	MIN	50	5150	5
460	MIN	50	5151	5
461	BTN	50	5365	5
462	BTN	50	8024	5
463	MIN	50	5120	5
464	BTN	50	5394	5
465	MIN	50	9519	5
466	BTN	50	9518	5
467	MIN	50	10092	20
468	MIN	50	10093	5
469	BTN	50	10096	5
470	MIN	50	10095	3
471	BTN	50	10098	3
472	MIN	53	12534	20
473	MIN	55	12537	20
474	MIN	58	12535	20
475	BTN	53	12878	20
476	BTN	55	12893	20
477	BTN	55	12879	20
478	BTN	58	12579	20
479	MIN	50	5273	9
480	BTN	11	5051	30
481	BTN	11	7726	1
482	BTN	11	7735	1
483	BTN	12	4818	30
484	BTN	12	7716	1
485	BTN	12	7736	1
486	BTN	13	7717	1
487	BTN	13	7718	1
488	BTN	13	7719	1
489	BTN	14	4805	30
490	BTN	14	7737	1
491	BTN	50	6148	9
492	BTN	50	5547	9
493	BTN	50	6147	9
494	BTN	50	4816	9
495	BTN	50	7592	30
496	BTN	50	7593	30
497	BTN	50	10099	5
498	MIN	50	10099	5
499	BTN	50	10335	7
500	MIN	50	10335	7
501	MIN	60	12538	7
502	MIN	50	5108	7
503	MIN	51	5109	7
504	MIN	52	5162	7
505	MIN	53	12941	7
506	MIN	54	5112	7
507	MIN	55	5161	7
508	MIN	56	12901	7
509	MIN	57	5117	7
510	MIN	58	5159	7
511	MIN	59	12942	7
512	MIN	60	12536	7
513	MIN	60	12540	7
514	MIN	60	12945	7
515	MIN	60	5226	7
516	MIN	60	5163	7
517	MIN	60	5160	7
518	BTN	60	12900	7
519	BTN	50	12896	7
520	BTN	51	12899	7
521	BTN	52	12877	7
522	BTN	53	12882	7
523	BTN	54	12943	7
524	BTN	55	12884	7
525	BTN	56	12889	7
526	BTN	58	12944	7
527	BTN	57	12897	7
528	BTN	59	12898	7
529	BTN	60	12634	7
530	BTN	60	12587	7
531	BTN	60	12902	7
532	BTN	60	4833	7
533	BTN	60	12903	7
534	BTN	60	12904	7
535	BTN	50	13765	7
536	BTN	52	13767	7
537	BTN	53	13768	7
538	BTN	60	14154	7
539	BTN	60	14956	30
540	BTN	60	14159	30
541	BTN	60	14160	30
542	BTN	60	14957	7
543	MIN	60	14955	30
544	MIN	60	14151	7
545	MIN	60	14190	30
546	MIN	60	15646	7
547	BTN	60	15647	7
548	BTN	20	15865	30
549	BTN	20	15866	30
550	BTN	20	15867	30
551	BTN	20	15868	30
552	BTN	20	15869	30
553	BTN	20	15870	30
554	BTN	60	5392	7
555	BTN	60	16721	7
556	BTN	60	16722	7
557	BTN	60	16723	7
558	MIN	60	16724	7
559	MIN	60	16725	7
560	MIN	60	16726	7
561	MIN	60	19910	30
562	MIN	60	19968	7
563	MIN	61	19871	30
564	MIN	62	19969	30
565	MIN	63	19951	30
566	MIN	64	19872	30
567	MIN	65	19970	7
568	MIN	65	19953	30
569	MIN	66	19971	7
570	MIN	68	19954	30
571	MIN	68	19972	7
572	MIN	70	19957	30
573	MIN	70	19973	7
574	MIN	61	5232	30
575	MIN	61	19950	30
576	MIN	62	20007	30
577	MIN	63	20006	30
578	MIN	66	19952	30
579	MIN	67	19955	30
580	MIN	69	19956	30
581	MIN	69	19907	7
582	BTN	60	19936	7
583	BTN	61	19851	30
584	BTN	61	19930	30
585	BTN	63	19931	30
586	BTN	64	19908	30
587	BTN	65	5389	30
588	BTN	65	19860	7
589	BTN	65	19863	30
590	BTN	66	19870	30
591	BTN	67	19869	30
592	BTN	67	19932	30
593	BTN	70	19933	30
594	BTN	70	19852	7
595	BTN	60	19868	30
596	BTN	60	19976	30
597	BTN	62	19850	30
598	BTN	62	19861	30
599	BTN	62	19881	30
600	BTN	63	19917	30
601	BTN	63	19979	30
602	BTN	64	19856	30
603	BTN	64	19859	30
604	BTN	64	19862	30
605	BTN	64	19879	30
606	BTN	65	19853	30
607	BTN	65	19864	30
608	BTN	65	19982	30
609	BTN	66	19855	30
610	BTN	66	19858	30
611	BTN	66	19865	7
612	BTN	66	19866	30
613	BTN	66	19867	30
614	BTN	67	19880	30
615	BTN	68	19857	7
616	BTN	68	19911	30
617	BTN	68	19912	30
618	BTN	68	19913	30
619	BTN	68	19914	30
620	BTN	68	19915	30
621	BTN	69	19854	30
622	BTN	69	19989	30
623	BTN	70	19918	7
624	HUNT	61	19877	10
625	HUNT	61	19919	10
626	HUNT	62	19922	10
627	HUNT	62	19924	10
628	HUNT	62	19999	10
629	HUNT	63	19874	10
630	HUNT	63	19923	10
631	HUNT	64	20000	10
632	HUNT	65	19921	10
633	HUNT	66	19873	10
634	HUNT	66	19878	10
635	HUNT	66	20001	10
636	HUNT	67	19920	10
637	HUNT	67	19985	10
638	HUNT	68	19986	10
639	HUNT	68	20002	10
640	HUNT	69	19875	10
641	HUNT	69	19989	10
642	HUNT	70	20003	10
643	HUNT	70	20004	10
644	FSH	61	20090	7
645	FSH	62	20050	10
646	FSH	63	20165	20
647	FSH	64	20176	20
648	FSH	65	20138	3
649	FSH	66	20191	20
650	FSH	67	20198	20
651	FSH	68	20209	10
652	FSH	69	20105	7
653	FSH	70	20226	10
654	MIN	60	14148	7
655	MIN	70	19958	7
656	MIN	70	19959	7
657	BTN	70	19934	7
658	BTN	70	19991	7
659	MIN	70	21085	7
660	BTN	70	21086	7
661	FSH	70	21180	10
662	MIN	70	22417	7
663	MIN	70	22418	7
664	BTN	70	22419	7
665	BTN	70	22420	7
666	FSH	70	22393	7
